,sentence,label
66,How will DevOps help me?,devops
67,How many offices do you have?,about
68,Will your devops tema help with deployment?,devops
69,Do you have experience in medical software?,about
70,Will you use swift programming language for iOS ?,mobile
71,What language do you prefer for Android?,mobile
72,How many clients did you have?,about
73,Can you help me to create a social network?,about
74,What industry your company works in?,about
75,Can we hire DevOps specialists?,devops
76,Are there any mobile automation QAs in your team?,qa
77,Do you have React Native team?,mobile
78,Can you detect problems in our setup?,devops
79,Are you a software development company?,about
80,Does your company have DevOps team?,devops
81,What does your QA proces like?,qa
82,What qa consulting is?,qa
83,Do you provide DevOps automation?,devops
84,Can you build a Xamarin app?,mobile
85,Does your company have automation qa team?,qa
86,Do you have testers?,qa
87,Do you have experience with security measures in software?,devops
88,Have you created enterprise software?,about
89,Will you develop an iOS application?,mobile
90,Can your DevOps make our system more secure?,devops
91,What do you mean by kitchens?,about
92,Which cross platform framework is the best?,mobile
93,When was your organization started? ,about
94,Do you use Kotlin for Android?,mobile
95,Does your company offer DevOps services?,devops
96,What language do you prefer for iOS?,mobile
97,How many years are you in industry?,about
98,Do you have Xamarin developers?,mobile
99,Are your QA trustworthy?,qa
100,Have you developed applications for commodity traders?,about
101,Which hybrid frameworks will you advice?,mobile
102,What can your DevOps do?,devops
103,Do you have React Native developers?,mobile
104,What is covered by Devops?,devops
105,Are you familiar with Xamarin?,mobile
106,Do you have enterprise DevOps team?,devops
107,Will you ensure a seamless project deployment process?,devops
108,Are your DevOps specialists proficient with CI/CD tools?,devops
109,What people started this company?,about
110,Can I make sure you will take care of quality of my app?,qa
111,Can DevOps team help our project in terms of productivity?,devops
112,What is the culture in VOLO officess?,about
113,Can you do automated testing of my app?,qa
114,What do you offer?,about
115,Can you develop a tablet application?,mobile
116,Can you provide me software quality testers?,qa
117,How many branches does VOLO have?,about
118,What does QA consulting mean?,qa
119,Is your QA team good?,qa
120,How does QA consulting help me?,qa
121,What can your devops specialists offer?,devops
122,Do you do QA?,qa
123,Can you create an application like Facebook?,about
124,Are there iOS developers in you team?,mobile
125,Do you have qa team?,qa
126,What language will you create Android projects with?,mobile
127,Do you have automation team?,qa
128,Are you specialised in enterprise solutions?,about
129,Have you created apps for smartphones?,mobile
130,What parts of application lifecyrcle does your devops team cover?,devops
131,Will your DevOps specialists publish our software to prduction?,devops
132,Can your DevOps team deploy our product?,devops
133,What do your QA Automation services cover?,qa
134,What languages do you use to develop iOS apps?,mobile
135,Do you have automation QA specialists?,qa
136,Are you specialized in hybrid technologies?,mobile
137,Can you provide assitence on good QA workflows?,qa
138,Does your QA team do manual testing?,qa
139,Can you create apps with react native?,mobile
140,What industries do you have experience in?,about
141,Is it possible to customize QA flows for my project?,qa
142,Do you have iOS specialists?,mobile
143,What is the best side of flutter?,mobile
144,What kind of projects require to QAs in the team?,qa
145,What do you mean by flutter?,mobile
146,What kind of projects have you done?,about
147,What corss platform languages do you have experience in?,mobile
148,Do you have branches in US?,about
149,What do your DevOps services cover?,devops
150,What is the most cost efficient technology for mobiel app development?,mobile
151,Are there a lot of projects you worked on?,about
152,Have your team worked with Selenium?,qa
153,Do you have experience in Android apps?,mobile
154,Can you provide consulting on QA related issues?,qa
155,Can your DevOps team make our solutions more secure?,devops
156,Can DevOps team make our solution more productive?,devops
157,Do you have CI/CD specialists?,devops
158,Have you created healthcare applications?,about
159,What programming language will you use for iOS apps?,mobile
160,Do you have mobile automation specialists?,qa
161,What technologies do you use for cross-platform app development?,mobile
162,Is it necessary to have testers in my team?,qa
163,Are you testers highly qualified?,qa
164,Do you pay attention on company culture?,about
165,What services do you have?,about
166,Is it cheeper to develop apps with Flutter?,mobile
167,How will your DevOps services help me?,devops
168,Do I really need QA specialists?,qa
169,Does the money spent on QA team pays off?,qa
170,Are you experienced in cross platform technologies?,mobile
171,Can you create iOS apps with objective c?,mobile
172,Is it worth the money to hire qa specialists?,qa
173,How can I check if I need quality assurance team?,qa
174,Are there any Selenium specialists in your team?,qa
175,How many apps have you developed?,about
176,Can you create a chating application?,about
177,Do your solutions meet security standards?,devops
178,Do you have team of automation testers?,qa
179,Are there qa specialists in your team?,qa
180,How many projects have you completed?,about
181,Can you create an app with react native?,mobile
182,Are all your offices located in Armenia?,about
183,Do you maintain a healthy atmosphere in your offices?,about
184,Do you have developers for all mobile platforms?,mobile
185,Do you have big offices?,about
186,Are there QAs specialized on manual testing in your company?,qa
187,How old is your company?,about
188,Will your Devops help deliver software?,devops
189,Do your devops specialists do continuous delivey?,devops
190,What industries are your clients from?,about
191,Can I make sure my app will be secure?,devops
192,Have you worked on social networking projects?,about
193,Do you have API automation secialists?,qa
194,Why should I pay for app testers?,qa
195,Can your DevOps solve problems in our environment?,devops
196,Does your DevOps do continuous integration?,devops
197,Are there healthcare solutions in your portfolio?,about
198,Can you create an application for hospitals?,about
199,Is your QA team experienced in automation testing of websites?,qa
200,What can VOLO do for us?,about
201,Can you help me with QA workflows?,qa
202,Do you provide DevOps for enterprise solutions?,devops
203,Do you have Devops services?,devops
204,Why should I spend money on QA team?,qa
205,What is the best hybrid technology?,mobile
206,What is the cheepest way to develop mobile app?,mobile
207,Do you have Devops experts?,devops
208,Have you developed applications before?,about
209,Are there commodity related projects in your portfolio?,about
210,What language will you create iOS projects with?,mobile
211,Do you build mobile apps?,mobile
212,Will you guide me through QA strategy best practices?,qa
213,Will you be able to develop trading platform application?,about
214,Do you do software development?,about
215,Do you have mobile development team?,mobile
216,What kind of organizations have you worked for?,about
217,Will your DevOps specialists secure us against attacks?,devops
218,What services do you provide to your clients?,about
219,Will you be able to deliver secure solutions?,devops
220,How does your QA team test the products?,qa
221,What does VOLO do?,about
222,Can you create Android apps with Java?,mobile
223,Can your DevOps team publish our app?,devops
224,Qhy should I pay for quality assurance?,qa
225,Can your automation team write tests for API?,qa
226,Can you create a custom QA flow for me?,qa
227,Can you develop a social network app?,about
228,Are your QA processes custom-created?,qa
229,How can I know if I need QA?,qa
230,When was your organization founded? ,about
231,What do you mean by QA consulting?,qa
232,Are there QA automation experts in your company?,qa
233,Can you create a trading platform?,about
234,Where are your offices located?,about
235,Do you create enterprise applications?,about
236,Can you develop native iOS app?,mobile
237,Do you have DevOps?,devops
238,What does your DevOps offer?,devops
239,When was your company founded? ,about
240,Can I buy devops solutions?,devops
241,What kind of experience do you have in building software?,about
242,What’s one good feature of Flutter?,mobile
243,Can I make sure my my app will work under pressure?,devops
244,Can your DevOps team configure firewall?,devops
245,Who were the people who created this company?,about
246,Can you develop payment processing software?,about
247,Does your company have office in Armenia?,about
248,Has your company created applications before?,about
249,Can you create an Android app for me?,mobile
250,Was this company founded by Armenians?,about
251,Do you have a good QA team?,qa
252,Can you help me identify the right QA strategy?,qa
253,Will DevOps help improve our productivity?,devops
254,Have you created react-native apps?,mobile
255,Do you have experience in DevOps?,devops
256,Is DevOps any good?,devops
257,Can you develop mobile app with xamarin?,mobile
258,Can you develop mobile apps?,mobile
259,Are the founders of VOLO Armenians?,about
260,Will your DevOps deliver our app?,devops
261,Does your company pay attenrion on quality?,qa
262,Can you develop smartphone application?,mobile
263,What kind of companies do your clients have?,about
264,Have you worked on many projects?,about
265,What can you do to make our deployment process better?,devops
266,Do you guarantee that your QAs I will have error free app?,qa
267,What spheres are your clients from?,about
268,How can I trust that you create high quality apps?,qa
269,What’s the testing process like?,qa
270,Can you develop native android application?,mobile
271,Are you familiar with CI/CD workflows?,devops
272,Do you have manual QAs?,qa
273,Can you help me with CI/CD?,devops
274,Do you provide DevOps solutions?,devops
275,What languages do you use to build Android apps?,mobile
276,Whah is the process of testing products?,qa
277,Are you familiar with any hybrid technology?,mobile
278,Does the expences of QA team pays off?,qa
279,Have you built smartphone mobile apps before?,mobile
280,Can you help me with good QA strategy?,qa
281,Are your quality assurance specialists good?,qa
282,Can you help us setup continuous integration?,devops
283,Do you have manual testers in your company?,qa
284,What cross platform frameworks are you familiar with?,mobile
285,What kind of automation do you do?,qa
286,Do you have Objective-C developers?,mobile
287,Have you created trading applications?,about
288,Can I make sure I need QA team?,qa
289,Will you help me with QA strategy?,qa
290,When was your company created? ,about
291,What are your QA consulting services about? ,qa
292,Can you create mobile applications?,mobile
293,What year your company was founded?,about
294,Will you ensure that our solution will work good in case of big load? ,devops
295,Are you experienced in automation?,qa
296,Who are the founders of your company?,about
297,Who founded your company?,about
298,Can you create a medical app for me?,about
299,Can you help with deployment?,devops
300,Do you have experience in Appium?,qa
301,Can you build a native mobile app?,mobile
302,Are the social networking solutions in your portfolio?,about
303,Are ther native mobile platform developers in you team?,mobile
304,When it was founded?,about
305,Why should I choose Flutter?,mobile
306,Do you have experience in developing social networks?,about
307,Can your Devops team protect us from attackers? ,devops
308,Will you cover our DevOps needs?,devops
309,Do your devops specialists protect against hacker attacks?,devops
310,What niches do you specialize in?,about
311,Can you advice best QA practices and workflows?,qa
312,Do you do manual testing?,qa
313,Do you have application testers?,qa
314,Why should I pay for testing the software?,qa
