sentence	label
Are your QA processes custom-created?	1
Do you have experience in hybrid frameworks?	2
Do I need to hire QA team for my project?	1
Are you familiar with continuous integration?	3
Do you have experience in mobile app development?	2
Are there devops specialists in your team?	3
Do you have React Native developers?	2
What industry your company works in?	0
What kind of experience do you have in building software?	0
Can I make sure you will take care of quality of my app?	1
Is it cheeper to develop apps with Flutter?	2
Is this company develop software?	0
Do you prvide end to end devops solutions?	3
Have you created healthcare applications?	0
Who created this company?	0
Are there any ObjectiveC developers in your team?	2
Do you have experience in Appium?	1
Can you create a hybrid app?	2
What’s your company culture like?	0
Who founded your company?	0
Can your Devops team protect us from attackers? 	3
Can you advice best QA practices and workflows?	1
Are there commodity related projects in your portfolio?	0
Is your QA team experienced in automation testing of websites?	1
Do you have a good QA team?	1
What does QA consulting mean?	1
Can you develop smartphone application?	2
Do you build apps for both iOS and Android?	2
Can you create an application like Facebook?	0
Can you develop native android application?	2
Do you have experience in healthcare software?	0
How can you help me?	0
What corss platform languages do you have experience in?	2
Is there an alternative for flutter?	2
Will you integrate continuous delivery mechanisms?	3
What does your QA proces like?	1
Are you familiar with hybrid mobile app development?	2
Does the money spent on QA team pays off?	1
What is covered by Devops?	3
Can you create an Android app for me?	2
Flutter? what is this?	2
Are there any Selenium specialists in your team?	1
Do you have Xamarin team?	2
Can you create a trading platform?	0
What does your DevOps offer?	3
When was your company founded? 	0
Will your DevOps deliver our app?	3
Does VOLO have office in United States?	0
Will your Devops team make our environment faster?	3
What QA flows do you offer?	1
Who were the people who created this company?	0
Are your quality assurance specialists good?	1
What about your QA flows?	1
What languages do you use to build Android apps?	2
Are you specialised in enterprise solutions?	0
Are there QAs in your team?	1
Do you have a branch in Ukraine?	0
Have you worked with payment systems?	0
Have you worked on social networking projects?	0
What kind of projects have you done?	0
And what about company culture?	0
What is Flutter?	2
What types of projects are you specialized?	0
Does your company have DevOps department?	3
Do you have application testers?	1
What do your QA Automation services cover?	1
Can your automation team write tests for API?	1
Do you have manual testers in your company?	1
Are you specialized in hybrid technologies?	2
What can VOLO do for us?	0
What programming language will you use for iOS apps?	2
Do you do software development?	0
Does your company have office in Armenia?	0
Do you have mobile automation specialists?	1
What mobile platforms do you create apps for?	2
When it was founded?	0
Will you guide me through QA strategy best practices?	1
Can I trust quality controll of your company?	1
Do you provide QA Automation services?	1
What is the QA process like in your company?	1
Are you working long in this industry?	0
Can I get DevOps services from your company?	3
Do you do manual testing?	1
Who are the founders of your company?	0
What niches do you specialize in?	0
Are there qa specialists in your team?	1
Will your DevOps specialists secure us against attacks?	3
How you organize QA flows?	1
Can devops impact the productivity?	3
Can you help with deployment?	3
Are you an IT company?	0
Will you create CI/CD?	3
What can your devops specialists offer?	3
Why should I pay for QA?	1
Do you have a big portfolio?	0
Can you automate devops related tasks?	3
Why should I spend money for testers?	1
Have you created social networks?	0
When was your organization started? 	0
What technologies do you use for cross-platform app development?	2
How can QA consulting help my project?	1
Can you create a healthcare platform?	0
What is the best side of flutter?	2
Have you created enterprise software?	0
Do you have experience in developing social networks?	0
Are there Swift developers in your team?	2
Have your team worked with Selenium?	1
What programming language will you use for Android apps?	2
How many clients did you have?	0
Will your DevOps specialists publish our software to prduction?	3
Do you do QA?	1
Are there QAs specialized on manual testing in your company?	1
What technology do you use for iOS development?	2
Do you have testers?	1
Are you familiar with Xamarin?	2
Is it possible to customize QA flows for my project?	1
Do you have Java developers?	2
What year your company was founded?	0
Is it required for me to hire QA team as well?	1
Will your devops tema help with deployment?	3
How will DevOps help me?	3
Has your company created applications before?	0
Do you have manual QAs?	1
Does your DevOps do continuous integration?	3
Which hybrid frameworks will you advice?	2
Do you have web automation QA team?	1
When was VOLO founded?	0
Do you have Devops services?	3
Can I make sure my my app will work under pressure?	3
Do you provide DevOps solutions?	3
Do you deliver DevOps solutions?	3
Does DevOps boost security?	3
Do you maintain a healthy atmosphere in your offices?	0
Can you create iOS apps with objective c?	2
Can you provide consulting on QA related issues?	1
Have you built smartphone mobile apps before?	2
Is Flutter your only option for cross-platform app development?	2
Do you have Devops experts?	3
Do I really need QA specialists?	1
Have you been in this industry for long time?	0
What language do you prefer for iOS?	2
Do you have iOS specialists?	2
Are the social networking solutions in your portfolio?	0
Can I make sure I need QA team?	1
Do you have highly qualified QA specialists?	1
How does your QA team test the products?	1
Do you have moile app specialists?	2
Can you devops detect issues in my environment?	3
Can I make sure my app will be secure?	3
Can you detect problems in our setup?	3
Are you a software development company?	0
What kind of companies do your clients have?	0
Do you provide DevOps automation?	3
Are you experienced in automation?	1
Can I trust your QA team?	1
Can you do automated testing of my app?	1
Can I make sure that my app is bug free after your QAs tested it?	1
What benefits will I have if I choose flutter?	2
Do you have qa team?	1
Are there website automation specialists in your company?	1
What does VOLO do?	0
Are your QA trustworthy?	1
What kind of automation do you do?	1
Will the prdoctivity rise if we have DevOps?	3
What do you mean by flutter?	2
Why is Flutter the right choice for cross-platform app development?	2
When was your company created? 	0
Do you have experience in medical software?	0
Are there manual QAs in your team?	1
Do you have automation team?	1
Do you have experience with security measures in software?	3
What is the best hybrid technology?	2
What is QA consultiong?	1
What is the main thing your company do?	0
How many years are you in industry?	0
Are you testers highly qualified?	1
How many branches does VOLO have?	0
Do you guarantee that your QAs I will have error free app?	1
What language will you create Android projects with?	2
Why should I spend money on QA team?	1
Do you care about security of software?	3
Can you build a native mobile app?	2
Can you develop payment processing software?	0
What do you mean by QA consulting?	1
What hybrid technology do you know?	2
Do you have experience in Xamarin?	2
Do you have DevOps?	3
Have you created react-native apps?	2
How many offices do you have?	0
Will you be able to deliver secure solutions?	3
Does the expences of QA team pays off?	1
Have you developed applications for commodity traders?	0
Can you guarantee that my application will scale well?	3
What is the culture in VOLO officess?	0
Will your DevOps team ensure the application is protected against attacks?	3
What can you do to make our deployment process better?	3
Do you create enterprise applications?	0
Which cross platform framework is the best?	2
Will you advice react native as cross platform framework?	2
